customer_id,segment,priority_score,churn_prob_control,uplift_score,predicted_clv,clv_percentile,is_high_value,is_treatment,churned
C000043,저가치-Lost Causes,0.02,0.998295,0.002037,7998638.775092429,40.6,0,1,1
C000044,저가치-Lost Causes,0.0,0.010646,-0.315533,0.0,11.7,0,0,0
C000045,저가치-Lost Causes,0.0,0.998401,0.006227,0.0,11.7,0,1,1
C000046,저가치-Lost Causes,0.0,0.000658,-0.00015,8198411.676680747,41.8,0,0,0
C000047,신규고객,0.2,0.008375,0.007302,19957948.645354666,77.5,0,1,0
C000048,저가치-Lost Causes,0.01,0.000835,0.000281,14624098.987240814,67.4,0,1,0
C000049,저가치-Lost Causes,0.07,0.004054,0.002635,18492079.390799537,75.0,0,0,0
C000050,저가치-Lost Causes,0.01,0.00095,0.000351,17485884.88921233,73.2,0,0,0
C000051,고가치-Lost Causes,0.0,0.000639,-0.000147,106462976.84448156,95.6,1,0,0
C000052,저가치-Lost Causes,0.0,0.000374,-0.001249,0.0,11.7,0,1,0
C000053,저가치-Lost Causes,0.0,0.000665,-0.0002,17913826.834628396,74.0,0,0,0
C000054,신규고객,0.0,0.998401,0.00022,0.0,11.7,0,0,1
C000055,신규고객,0.0,0.00025,-0.00026,6556651.008512337,33.1,0,1,0
C000056,신규고객,0.0,0.000669,-0.000216,9992212.710521303,51.3,0,0,0
C000057,신규고객,0.0,0.628983,-0.292115,16309573.419787966,70.5,0,1,1
C000058,고가치-Sure Things,0.01,0.000943,0.000312,27024629.2205587,87.3,1,1,0
C000059,신규고객,0.0,0.000995,-0.000446,17736309.238983717,73.8,0,1,0
C000060,저가치-Lost Causes,0.0,0.000603,-0.000779,0.0,11.7,0,1,0
C000061,신규고객,0.0,0.000765,-0.000241,15374985.526856609,69.0,0,1,0
C000062,저가치-Lost Causes,0.0,0.017825,-0.119997,3962044.685170278,26.3,0,0,0
C000063,신규고객,0.0,0.001294,-7e-06,11110075.09748585,56.4,0,1,0
C000064,저가치-Lost Causes,0.0,0.000617,4.2e-05,9849042.495011078,50.6,0,0,0
C000065,저가치-Lost Causes,0.02,0.002069,0.001089,16391230.24907188,70.7,0,1,0
C000066,저가치-Lost Causes,0.0,0.000712,-0.000506,2685613.120091426,24.9,0,0,0
C000067,신규고객,0.0,0.001026,0.000184,7418781.09376543,37.6,0,1,0
C000068,고가치-Lost Causes,0.0,0.00061,-3.8e-05,101077148.96046022,94.5,1,1,0
C000069,저가치-Lost Causes,0.0,0.000657,-0.000601,7529421.500159909,38.3,0,0,0
C000070,저가치-Lost Causes,0.0,0.000593,6.5e-05,12037995.503015691,59.8,0,0,0
C000071,신규고객,0.0,0.000634,-0.000307,9652515.64620304,49.6,0,1,0
C000072,신규고객,0.0,0.998601,0.000387,0.0,11.7,0,0,1
C000073,저가치-Lost Causes,0.01,0.000875,0.000313,13787358.317218153,65.5,0,0,0
C000074,고가치-Lost Causes,0.0,0.005113,-0.009764,90339138.94527686,92.4,1,0,0
C000075,고가치-Sure Things,0.02,0.00128,0.000577,30868093.01385869,89.6,1,1,0
C000076,신규고객,0.0,0.997832,0.00028,5629200.326125749,29.9,0,0,1
C000077,저가치-Lost Causes,0.0,0.004788,-0.01978,7067193.5042534005,35.7,0,0,0
C000078,저가치-Lost Causes,-0.0,0.000657,-0.0,18177603.389500327,74.5,0,0,0
C000079,저가치-Lost Causes,0.0,0.998401,0.00022,0.0,11.7,0,0,1
C000080,저가치-Lost Causes,0.0,0.000743,-6.6e-05,16711021.167354796,71.5,0,0,0
C000081,저가치-Lost Causes,0.0,0.000764,-5.4e-05,8670516.159484355,44.3,0,0,0
C000082,신규고객,0.0,0.940538,0.697799,0.0,11.7,0,1,0
C000083,고가치-Lost Causes,0.0,0.00088,-0.001072,24484839.870830253,84.6,1,0,0
C000084,고가치-Lost Causes,0.0,0.000561,-0.000108,93303663.65231425,92.9,1,0,0
C000085,고가치-Sure Things,0.21,0.004237,0.00166,92834944.74516888,92.8,1,0,0
C000086,저가치-Lost Causes,0.0,0.00054,-0.001342,0.0,11.7,0,0,0
C000087,저가치-Lost Causes,0.01,0.996816,0.001999,4970387.421768138,28.3,0,0,1
C000088,신규고객,0.0,0.000805,-0.00044,22608370.62951813,81.9,1,1,0
C000089,저가치-Lost Causes,0.0,0.000656,0.00011,15514619.40371568,69.3,0,1,0
C000090,고가치-Sure Things,0.04,0.001485,0.00087,32770652.695547592,90.0,1,1,0
C000091,신규고객,0.01,0.001155,0.000599,13285245.639635,64.1,0,0,0
C000092,저가치-Lost Causes,0.0,0.000751,-0.000381,6394365.062590465,32.5,0,0,0
C000093,저가치-Lost Causes,0.0,0.000554,-0.000262,7453078.655822324,37.9,0,0,0
C000094,저가치-Lost Causes,0.0,0.000808,-0.00043,7541732.657024629,38.4,0,1,0
C000095,저가치-Persuadables,4.63,0.980528,0.203104,16487174.363696948,70.9,0,0,1
C000096,저가치-Lost Causes,0.0,0.998343,0.000322,0.0,11.7,0,0,1
C000097,고가치-Lost Causes,0.0,0.000614,-0.00013,109278527.33644666,96.2,1,0,0
C000098,저가치-Lost Causes,0.0,0.000506,-0.000276,20413292.10163619,78.3,0,1,0
C000099,신규고객,0.0,0.003275,-0.002438,10504973.914633738,53.9,0,1,0
C000100,저가치-Lost Causes,0.0,0.002639,-0.002807,10579331.879869824,54.4,0,1,0
C000101,저가치-Lost Causes,0.02,0.001517,0.000626,20200311.232960537,77.9,0,0,0
C000102,신규고객,0.0,0.000746,0.000165,12949322.331044238,63.0,0,0,0
C000103,저가치-Lost Causes,0.0,0.000916,-0.140288,0.0,11.7,0,0,0
C000104,신규고객,0.08,0.015357,0.013009,4220189.577890032,26.7,0,1,0
C000105,신규고객,0.0,0.000873,-0.001633,0.0,11.7,0,0,0
C000106,저가치-Lost Causes,0.0,0.000575,-0.00084,7579777.7937842915,38.6,0,1,0
C000107,저가치-Lost Causes,0.01,0.000868,0.000252,17145070.034975376,72.4,0,1,0
C000108,고가치-Sure Things,0.0,0.000632,9e-06,107858322.59169637,95.9,1,1,0
C000109,저가치-Lost Causes,0.0,0.002483,-2.1e-05,956144.00285957,23.9,0,1,0
C000110,신규고객,0.01,0.002636,0.000671,5592559.033343189,29.8,0,1,0
C000111,신규고객,0.0,0.000824,0.000187,16968175.708779525,72.1,0,1,0
C000112,신규고객,0.0,0.997647,3.2e-05,4493823.750309725,27.2,0,1,1
C000113,저가치-Lost Causes,0.01,0.001005,0.000448,8947125.837340686,45.8,0,0,0
C000114,저가치-Lost Causes,0.01,0.000809,0.000215,19092704.424352087,76.2,0,0,0
C000115,저가치-Lost Causes,0.0,0.00332,-0.046925,18020479.157417987,74.2,0,1,0
C000116,저가치-Lost Causes,0.0,0.9979,0.000144,0.0,11.7,0,0,1
C000117,저가치-Lost Causes,0.0,0.0678,0.017268,0.0,11.7,0,1,0
C000118,신규고객,0.0,0.002625,-0.002794,7143242.122670024,36.1,0,1,0
C000119,저가치-Lost Causes,0.0,0.99816,0.000259,0.0,11.7,0,1,1
C000120,신규고객,0.0,0.000932,2.6e-05,8169517.267771064,41.7,0,0,0
C000121,신규고객,0.0,0.224874,-0.716474,9814798.312926864,50.5,0,0,0
C000122,신규고객,0.0,0.002169,-0.002647,118409095.82852995,98.3,1,0,0
C000123,저가치-Lost Causes,0.0,0.000692,-0.00029,9430840.456443071,48.3,0,0,0
C000124,고가치-Lost Causes,0.0,0.000639,-0.000257,115211150.8227648,97.6,1,0,0
C000125,저가치-Lost Causes,0.0,0.000933,-0.004108,10347045.783170132,53.2,0,1,0
C000126,저가치-Lost Causes,0.0,0.000569,-0.000247,9810359.085095365,50.4,0,0,0
C000127,저가치-Lost Causes,0.01,0.00111,0.00049,18666798.009864174,75.3,0,1,0
C000128,저가치-Lost Causes,0.01,0.001044,0.000445,20791615.230713457,79.0,0,0,0
C000129,저가치-Lost Causes,0.0,0.000674,-0.000256,6791577.373483077,34.2,0,1,0
C000130,고가치-Lost Causes,0.0,0.00047,-9e-05,22954234.084930304,82.5,1,0,0
C000131,신규고객,0.0,0.000504,-0.000344,3284608.6623783805,25.5,0,1,0
C000132,신규고객,0.0,0.000606,0.000133,18317584.494552683,74.7,0,0,0
C000133,신규고객,0.0,0.000613,-0.000329,9507424.600397017,48.7,0,1,0
C000134,저가치-Lost Causes,0.01,0.003599,0.000666,7372354.262823901,37.4,0,1,0
C000135,신규고객,0.0,0.000615,-0.000276,131019843.10576716,99.6,1,0,0
C000136,저가치-Lost Causes,0.0,0.000294,-0.000261,8050508.158277458,40.9,0,0,0
C000137,저가치-Lost Causes,0.0,0.988372,-0.006072,9156290.376524253,47.0,0,1,1
C000138,신규고객,0.0,0.012952,-0.002461,0.0,11.7,0,1,0
C000139,고가치-Lost Causes,0.0,0.002037,-5.9e-05,100682396.9593419,94.4,1,0,0
C000140,신규고객,0.0,0.000558,-0.000587,9895610.137507211,50.7,0,0,0
C000141,저가치-Lost Causes,0.0,0.000434,-0.000694,7829812.479392699,39.7,0,1,0
C000142,저가치-Lost Causes,0.02,0.002592,0.001581,8689873.436316175,44.5,0,0,0
C000143,저가치-Lost Causes,0.04,0.004378,0.002478,12355917.006661795,61.1,0,0,0
C000144,신규고객,0.0,0.998343,0.000322,0.0,11.7,0,0,1
C000145,저가치-Lost Causes,0.03,0.002003,0.001389,16319942.662071628,70.5,0,1,0
C000146,저가치-Lost Causes,0.0,0.000302,-0.000709,8667325.445580052,44.3,0,0,0
C000147,저가치-Lost Causes,0.01,0.001201,0.000617,9584387.272004556,49.2,0,1,0
C000148,저가치-Lost Causes,0.0,0.006832,0.000214,7358544.077695589,37.4,0,0,0
C000149,고가치-Lost Causes,0.0,0.000482,-0.004201,103603526.51925068,95.1,1,0,0
C000150,저가치-Lost Causes,0.0,0.997891,-0.000233,0.0,11.7,0,1,1
C000151,신규고객,0.0,0.997722,-0.000282,0.0,11.7,0,1,1
C000152,신규고객,0.02,0.001319,0.000659,25475379.698103208,85.8,1,1,0
C000153,저가치-Lost Causes,0.0,0.99849,0.000837,0.0,11.7,0,1,1
C000154,신규고객,0.0,0.000851,0.000103,26610028.216873437,87.0,1,1,0
C000155,저가치-Lost Causes,0.0,0.000587,-0.000589,0.0,11.7,0,1,0
C000156,저가치-Lost Causes,0.0,0.000711,0.000132,14455280.35423822,67.1,0,0,0
C000157,신규고객,0.0,0.000763,-0.000287,0.0,11.7,0,1,0
C000158,저가치-Lost Causes,0.0,0.998401,0.00022,0.0,11.7,0,0,1
C000159,신규고객,0.0,0.000632,-0.000656,0.0,11.7,0,1,0
C000160,고가치-Lost Causes,0.0,0.000638,-0.000216,24416928.62807987,84.5,1,0,0
C000161,저가치-Lost Causes,0.0,0.00076,8.7e-05,7972951.147590221,40.5,0,1,0
C000162,저가치-Lost Causes,0.01,0.001167,0.000377,20815558.700859897,79.1,0,1,0
C000163,신규고객,0.0,0.000727,-1.7e-05,111815427.63090175,96.8,1,1,0
C000164,신규고객,0.0,0.000612,-0.000353,14498564.064556325,67.2,0,0,0
C000165,저가치-Lost Causes,0.0,0.998601,0.000204,0.0,11.7,0,0,1
C000166,저가치-Lost Causes,0.0,0.00076,-8.2e-05,5200237.537314943,28.7,0,0,0
C000167,신규고객,0.0,0.116139,-0.731028,0.0,11.7,0,0,0
C000168,신규고객,0.0,0.000688,-0.000152,13103836.524374422,63.4,0,0,0
C000169,저가치-Lost Causes,0.0,0.000452,-0.000115,15592676.176912772,69.4,0,0,0
C000170,저가치-Lost Causes,0.0,0.997749,0.000715,0.0,11.7,0,0,1
C000171,신규고객,0.0,0.998779,0.00054,0.0,11.7,0,0,1
C000172,고가치-Sure Things,0.12,0.007294,0.003125,26633295.066753097,87.1,1,1,0
C000173,저가치-Lost Causes,0.0,0.00024,-0.000161,12459076.082005512,61.5,0,1,0
C000174,고가치-Sure Things,0.0,0.000715,0.000101,21974251.229593057,80.9,1,1,0
C000175,고가치-Lost Causes,0.0,0.000447,-0.000163,115642464.08595316,97.7,1,1,0
C000176,신규고객,0.0,0.76512,-0.231738,0.0,11.7,0,1,1
C000177,신규고객,0.0,0.000601,3.3e-05,9908049.554579224,50.8,0,0,0
C000178,저가치-Lost Causes,0.24,0.014262,0.012949,13624692.429365547,65.2,0,1,0
C000179,저가치-Lost Causes,0.0,0.000395,-0.000506,0.0,11.7,0,1,0
C000180,저가치-Lost Causes,0.0,0.997151,-0.000858,0.0,11.7,0,0,1
C000181,저가치-Lost Causes,0.0,0.883117,-0.062798,10692728.078327429,54.9,0,1,1
C000182,저가치-Lost Causes,0.0,0.000569,-0.000192,13536649.71352407,64.9,0,1,0
C000183,저가치-Persuadables,6.84,0.817839,0.812975,6088972.320622601,31.1,0,0,1
C000184,신규고객,0.0,0.000388,-4.7e-05,0.0,11.7,0,0,0
C000185,신규고객,0.02,0.986268,0.001767,9481921.742037425,48.6,0,1,1
C000186,신규고객,0.0,0.000653,-0.000203,6155657.775661256,31.4,0,1,0
C000187,고가치-Sure Things,0.0,0.000632,9e-06,117999758.64218403,98.2,1,0,0
C000188,신규고객,0.0,0.002864,-0.017677,0.0,11.7,0,0,0
C000189,고가치-Sure Things,0.14,0.004083,0.003425,30118761.271970548,89.3,1,1,0
C000190,저가치-Lost Causes,0.0,0.000875,0.000152,12913066.754812011,62.8,0,0,0
C000191,신규고객,0.01,0.000916,0.0003,26497876.18220282,86.9,1,1,0
C000192,신규고객,0.0,0.0029,-0.011943,22702857.862432152,82.1,1,0,0
C000193,신규고객,0.0,0.002307,-0.017487,0.0,11.7,0,0,0
C000194,고가치-Sure Things,0.03,0.001404,0.000708,26834868.008689404,87.2,1,1,0
C000195,고가치-Sure Things,0.03,0.001535,0.000888,23054375.545329288,82.7,1,1,0
C000196,신규고객,0.0,0.000729,0.000207,8690638.076564228,44.5,0,1,0
C000197,저가치-Lost Causes,0.01,0.001153,0.000587,13861276.713973328,65.7,0,1,0
C000198,고가치-Sure Things,0.4,0.017372,0.012286,23669282.335483298,83.6,1,1,0
C000199,저가치-Lost Causes,0.0,0.00061,-0.000267,8991823.14828656,46.1,0,0,0
C000200,저가치-Lost Causes,0.0,0.998527,-8.2e-05,0.0,11.7,0,1,1
C000201,저가치-Lost Causes,0.0,0.000456,-8.2e-05,7139856.403987841,36.1,0,0,0
C000202,신규고객,0.0,0.987533,0.00012,18316060.897260044,74.7,0,0,1
C000203,저가치-Lost Causes,0.0,0.006901,-0.012932,18983588.403740518,76.0,0,1,0
C000204,신규고객,0.0,0.000727,-0.000164,106386930.28612734,95.6,1,0,0
C000205,고가치-Lost Causes,0.0,0.002193,-0.004735,22899541.13689952,82.5,1,0,0
C000206,저가치-Lost Causes,0.36,0.034312,0.012327,21016894.289649896,79.5,0,1,0
C000207,고가치-Lost Causes,0.0,0.002904,-0.000827,21386309.642053623,80.1,1,1,0
C000208,저가치-Lost Causes,0.0,0.000182,-0.000238,15184269.55419982,68.6,0,1,0
C000209,저가치-Lost Causes,0.02,0.001403,0.000912,12048232.900688004,59.9,0,1,0
C000210,신규고객,0.0,0.081693,-0.026846,10241306.091244748,52.6,0,0,0
C000211,저가치-Lost Causes,0.01,0.000949,0.000419,17840451.76562045,73.9,0,0,0
C000212,신규고객,0.06,0.003537,0.002077,20714110.712141737,78.8,0,1,0
C000213,신규고객,0.0,0.000841,-0.009015,0.0,11.7,0,1,0
C000214,신규고객,0.0,0.000571,-0.001097,6826792.274588798,34.5,0,0,0
C000215,저가치-Lost Causes,0.0,0.00094,-0.000172,2790739.32367244,25.0,0,1,0
C000216,고가치-Sure Things,0.03,0.001576,0.000929,23939404.64337132,83.9,1,1,0
C000217,고가치-Sure Things,0.01,0.00084,0.000203,31057696.974993244,89.6,1,1,0
C000218,저가치-Persuadables,0.77,0.989401,0.077207,7179541.36187979,36.3,0,0,1
C000219,신규고객,0.0,0.000538,-0.000305,7575557.48789567,38.5,0,0,0
C000220,신규고객,0.0,0.000752,-0.00051,6097167.36310174,31.1,0,1,0
C000221,저가치-Lost Causes,0.0,0.996653,-0.000901,0.0,11.7,0,1,1
C000222,신규고객,0.0,0.00052,3.6e-05,10282992.250232313,52.9,0,0,0
C000223,저가치-Lost Causes,0.0,0.998601,0.000387,0.0,11.7,0,0,1
C000224,신규고객,0.0,0.000754,0.000117,30643028.737380564,89.5,1,0,0
C000225,저가치-Lost Causes,0.0,0.002134,-0.795519,9023667.871824425,46.1,0,1,1
C000226,신규고객,0.0,0.000727,-0.000164,104176999.82310577,95.1,1,1,0
C000227,저가치-Lost Causes,0.0,0.997969,-8.3e-05,2752752.3565327334,25.0,0,1,1
C000228,저가치-Lost Causes,0.02,0.00139,0.000907,13482261.60464933,64.7,0,0,0
C000229,저가치-Lost Causes,0.01,0.001002,0.000413,16752622.106628371,71.6,0,0,0
C000230,저가치-Lost Causes,0.07,0.003,0.002445,20664913.269603662,78.7,0,0,0
C000231,신규고객,0.0,0.000917,-0.000338,9456109.557929736,48.4,0,1,0
C000232,신규고객,0.0,0.000605,5.5e-05,10584481.3010234,54.4,0,0,0
C000233,저가치-Lost Causes,0.0,0.00053,-9e-06,11885879.615855994,59.4,0,1,0
C000234,저가치-Lost Causes,0.0,0.000297,-0.000265,8033734.220952901,40.8,0,0,0
C000235,저가치-Lost Causes,0.0,0.011618,-0.130565,0.0,11.7,0,0,0
C000236,신규고객,0.0,0.998446,-4.4e-05,0.0,11.7,0,0,1
C000237,저가치-Lost Causes,0.0,0.000889,-0.076577,0.0,11.7,0,0,0
C000238,신규고객,0.02,0.000818,0.00015,95104360.18975069,93.3,1,1,0
C000239,신규고객,0.0,0.000519,-7.8e-05,19307884.716796115,76.6,0,1,0
C000240,신규고객,0.0,0.99865,0.000213,0.0,11.7,0,0,1
C000241,저가치-Lost Causes,0.01,0.001755,0.000819,6230012.285022741,31.8,0,0,0
C000242,고가치-Sure Things,0.0,0.000754,0.000117,30753517.97616622,89.6,1,0,0
C000243,저가치-Persuadables,4.68,0.93316,0.269389,12578342.525668949,61.9,0,0,1
C000244,신규고객,4.76,0.633675,0.631398,5459640.244558189,29.3,0,0,1
C000245,저가치-Lost Causes,0.0,0.000604,1.7e-05,11350042.50805404,57.5,0,0,0
C000246,저가치-Lost Causes,0.06,0.995574,0.004766,9331194.505823033,47.8,0,1,1
C000247,신규고객,0.0,0.000674,-0.000486,5538742.762244333,29.6,0,1,0
C000248,저가치-Lost Causes,0.0,0.000657,-0.000166,7135689.5391528215,36.0,0,0,0
C000249,신규고객,0.0,0.001281,0.000149,8111044.442373148,41.3,0,1,0
C000250,저가치-Lost Causes,0.0,0.000621,8.7e-05,15216330.190978704,68.7,0,1,0
C000251,저가치-Lost Causes,0.0,0.000607,-9.2e-05,12185931.6956621,60.4,0,1,0
C000252,저가치-Lost Causes,0.0,0.000599,-0.000323,12009200.553147608,59.8,0,0,0
C000253,저가치-Lost Causes,0.0,0.010154,-0.030585,11614228.427241763,58.5,0,1,0
C000254,신규고객,0.02,0.998163,0.000856,12947300.013782574,62.9,0,0,1
C000255,저가치-Lost Causes,0.0,0.998108,0.000601,0.0,11.7,0,1,1
C000256,신규고객,0.0,0.000811,-0.004261,0.0,11.7,0,0,0
C000257,신규고객,0.26,0.014017,0.00819,22539992.869688023,81.8,1,1,0
C000258,고가치-Lost Causes,0.0,0.000727,-1.7e-05,111768435.4341518,96.8,1,1,0
C000259,저가치-Lost Causes,0.03,0.002183,0.001692,13162667.2294613,63.7,0,0,0
C000260,신규고객,0.0,0.002485,-0.001438,24133365.158449672,84.2,1,0,0
C000261,저가치-Lost Causes,0.0,0.000258,-0.000441,0.0,11.7,0,0,0
C000262,저가치-Lost Causes,0.0,0.001052,-0.000124,7615802.434970736,38.7,0,1,0
C000263,고가치-Lost Causes,0.0,0.000632,-3.6e-05,25915662.02671602,86.3,1,0,0
C000264,신규고객,0.0,0.020065,-0.139997,9112054.405361572,46.7,0,0,0
C000265,신규고객,0.29,0.012357,0.011241,18929296.483001675,75.9,0,1,0
C000266,신규고객,0.0,0.000596,-3e-06,21033747.32548635,79.6,0,0,0
C000267,고가치-Sure Things,0.0,0.000654,4e-05,24735207.50462384,85.0,1,0,0
C000268,저가치-Persuadables,12.48,0.655068,0.552957,16331783.30556329,70.5,0,1,0
C000269,고가치-Lost Causes,0.0,0.000604,-1.9e-05,85099203.38473088,91.6,1,0,0
C000270,고가치-Lost Causes,0.0,0.000614,-0.000172,125897950.5376411,99.3,1,1,0
C000271,신규고객,0.0,0.010744,-0.033788,24232621.784228902,84.3,1,1,0
C000272,고가치-Sure Things,0.07,0.001148,0.000548,86159563.37578708,91.8,1,0,0
C000273,신규고객,0.03,0.998509,0.005483,4196582.963590701,26.7,0,0,1
C000274,저가치-Lost Causes,0.02,0.003651,0.002126,8230921.294820699,42.0,0,1,0
C000275,신규고객,0.0,0.003543,-0.002266,7664344.328803244,38.9,0,0,0
C000276,신규고객,0.0,0.997141,0.000327,2545896.6539060087,24.7,0,0,1
C000277,저가치-Lost Causes,0.0,0.001328,0.000114,15235737.022135943,68.7,0,1,0
C000278,저가치-Lost Causes,0.01,0.001273,0.000717,11820390.269769294,59.2,0,0,0
C000279,저가치-Lost Causes,0.0,0.998343,6.3e-05,0.0,11.7,0,0,1
C000280,고가치-Lost Causes,0.0,0.000614,-5.4e-05,117863270.71872105,98.1,1,0,0
C000281,저가치-Lost Causes,0.02,0.001392,0.000793,17335092.78404496,72.9,0,1,0
C000282,저가치-Lost Causes,0.0,0.000541,-8.3e-05,20865508.829080254,79.3,0,0,0
C000283,신규고객,8.85,0.888625,0.284576,22497489.165844087,81.7,1,0,1
C000284,신규고객,0.0,0.000282,-0.000202,17300435.737668496,72.8,0,1,0
C000285,저가치-Lost Causes,0.0,0.002133,-0.00148,995284.2976297772,24.0,0,1,0
C000286,고가치-Lost Causes,0.0,0.000614,-0.000277,127771884.61821024,99.4,1,1,0
C000287,저가치-Persuadables,7.32,0.644672,0.642343,8248222.611919877,42.1,0,0,1
C000288,신규고객,0.03,0.002108,0.001616,14345315.830315867,66.8,0,0,0
C000289,신규고객,0.0,0.002152,-0.005174,17882696.806647062,74.0,0,0,0
C000290,신규고객,0.0,0.997482,-0.000588,0.0,11.7,0,1,1
C000291,고가치-Lost Causes,0.0,0.985002,-0.012645,44578995.50430696,90.3,1,0,1
C000292,저가치-Lost Causes,0.05,0.008122,0.003161,10381874.293570394,53.4,0,1,0
C000293,고가치-Sure Things,0.22,0.002042,0.001374,113562262.3357395,97.2,1,0,0
C000294,저가치-Lost Causes,0.0,0.000763,-0.000528,0.0,11.7,0,0,0
C000295,저가치-Lost Causes,0.0,0.000806,0.000211,8006509.705825874,40.7,0,0,0
C000296,저가치-Lost Causes,0.0,0.998343,6.3e-05,0.0,11.7,0,0,1
C000297,신규고객,0.0,0.00093,-0.001117,0.0,11.7,0,0,0
C000298,저가치-Lost Causes,0.0,0.006076,-0.008746,489.4055067500029,23.5,0,0,0
C000299,신규고객,0.0,0.000633,-0.000176,12092512.608911395,60.0,0,0,0
C000300,신규고객,0.0,0.000285,-0.000539,4508094.550551737,27.3,0,0,0
C000301,신규고객,0.01,0.001068,0.000454,19839837.92189085,77.3,0,1,0
C000302,신규고객,0.0,0.000514,-0.000334,13109900.050505068,63.5,0,0,0
C000303,신규고객,0.0,0.002459,-0.004138,9478575.336822644,48.5,0,1,0
C000304,저가치-Lost Causes,0.01,0.001009,0.000452,10644177.71799906,54.6,0,0,0
C000305,저가치-Lost Causes,0.02,0.00276,0.001548,8396248.218980862,43.0,0,1,0
C000306,저가치-Lost Causes,0.0,0.000672,-0.000489,10065327.407478113,51.7,0,1,0
C000307,신규고객,0.0,0.147167,-0.598269,0.0,11.7,0,0,0
C000308,고가치-Sure Things,0.0,0.000711,9.6e-05,24362181.739363693,84.4,1,1,0
C000309,저가치-Lost Causes,0.0,0.001205,-0.00083,18971425.68121829,76.0,0,1,0
