customer_id,uplift_score,uplift_t_learner,uplift_x_learner,churn_prob_control,segment,is_treatment,churned
C000027,1e-06,1e-06,0.135636,0.000669,Sure Things,1,0
C000028,0.0008,0.0008,0.062114,0.001437,Sure Things,0,0
C000029,0.009841,0.009841,-0.208726,0.012275,Sure Things,0,0
C000030,-0.065587,-0.065587,-0.158766,0.003925,Sleeping Dogs,0,0
C000031,-0.000104,-0.000104,-0.046034,0.000635,Sleeping Dogs,0,0
C000032,7.3e-05,7.3e-05,-0.099617,0.000929,Sure Things,0,0
C000033,0.01573,0.01573,-0.285863,0.034446,Sure Things,0,0
C000034,0.000922,0.000922,0.332299,0.001773,Sure Things,1,0
C000035,0.059057,0.059057,0.3455,0.059669,Sure Things,0,0
C000036,-0.003654,-0.003654,-0.055435,0.006066,Sleeping Dogs,0,0
C000037,-0.000376,-0.000376,-0.228553,0.000285,Sleeping Dogs,0,0
C000038,-0.000137,-0.000137,0.222975,0.000548,Sleeping Dogs,1,0
C000039,0.000522,0.000522,-0.119166,0.001197,Sure Things,0,0
C000040,-0.000324,-0.000324,0.163005,0.000661,Sleeping Dogs,1,0
C000041,0.00022,0.00022,0.275106,0.998401,Lost Causes,0,1
C000042,-0.017596,-0.017596,-0.110227,0.003476,Sleeping Dogs,0,0
C000043,0.002037,0.002037,-0.201549,0.998295,Lost Causes,1,1
C000044,-0.315533,-0.315533,0.105538,0.010646,Sleeping Dogs,0,0
C000045,0.006227,0.006227,0.008338,0.998401,Lost Causes,1,1
C000046,-0.00015,-0.00015,-0.150647,0.000658,Sleeping Dogs,0,0
C000047,0.007302,0.007302,-0.028109,0.008375,Sure Things,1,0
C000048,0.000281,0.000281,0.065152,0.000835,Sure Things,1,0
C000049,0.002635,0.002635,0.03887,0.004054,Sure Things,0,0
C000050,0.000351,0.000351,-0.014684,0.00095,Sure Things,0,0
C000051,-0.000147,-0.000147,0.188946,0.000639,Sleeping Dogs,0,0
C000052,-0.001249,-0.001249,0.071264,0.000374,Sleeping Dogs,1,0
C000053,-0.0002,-0.0002,0.105378,0.000665,Sleeping Dogs,0,0
C000054,0.00022,0.00022,0.275106,0.998401,Lost Causes,0,1
C000055,-0.00026,-0.00026,0.058106,0.00025,Sleeping Dogs,1,0
C000056,-0.000216,-0.000216,-0.080253,0.000669,Sleeping Dogs,0,0
C000057,-0.292115,-0.292115,0.205279,0.628983,Sleeping Dogs,1,1
C000058,0.000312,0.000312,0.12014,0.000943,Sure Things,1,0
C000059,-0.000446,-0.000446,-0.096064,0.000995,Sleeping Dogs,1,0
C000060,-0.000779,-0.000779,0.149983,0.000603,Sleeping Dogs,1,0
C000061,-0.000241,-0.000241,0.046747,0.000765,Sleeping Dogs,1,0
C000062,-0.119997,-0.119997,0.208878,0.017825,Sleeping Dogs,0,0
C000063,-7e-06,-7e-06,-0.077039,0.001294,Sleeping Dogs,1,0
C000064,4.2e-05,4.2e-05,0.013725,0.000617,Sure Things,0,0
C000065,0.001089,0.001089,0.146578,0.002069,Sure Things,1,0
C000066,-0.000506,-0.000506,-0.193672,0.000712,Sleeping Dogs,0,0
C000067,0.000184,0.000184,-0.022993,0.001026,Sure Things,1,0
C000068,-3.8e-05,-3.8e-05,0.227424,0.00061,Sleeping Dogs,1,0
C000069,-0.000601,-0.000601,-0.313264,0.000657,Sleeping Dogs,0,0
C000070,6.5e-05,6.5e-05,-0.077761,0.000593,Sure Things,0,0
C000071,-0.000307,-0.000307,0.278445,0.000634,Sleeping Dogs,1,0
C000072,0.000387,0.000387,0.205586,0.998601,Lost Causes,0,1
C000073,0.000313,0.000313,-0.188235,0.000875,Sure Things,0,0
C000074,-0.009764,-0.009764,-0.345163,0.005113,Sleeping Dogs,0,0
C000075,0.000577,0.000577,0.137553,0.00128,Sure Things,1,0
C000076,0.00028,0.00028,0.093331,0.997832,Lost Causes,0,1
C000077,-0.01978,-0.01978,0.028521,0.004788,Sleeping Dogs,0,0
C000078,-0.0,-0.0,-0.3047,0.000657,Sleeping Dogs,0,0
C000079,0.00022,0.00022,0.275106,0.998401,Lost Causes,0,1
C000080,-6.6e-05,-6.6e-05,0.06258,0.000743,Sleeping Dogs,0,0
C000081,-5.4e-05,-5.4e-05,-0.231077,0.000764,Sleeping Dogs,0,0
C000082,0.697799,0.697799,-0.030901,0.940538,Persuadables,1,0
C000083,-0.001072,-0.001072,-0.115424,0.00088,Sleeping Dogs,0,0
C000084,-0.000108,-0.000108,0.12678,0.000561,Sleeping Dogs,0,0
C000085,0.00166,0.00166,-0.229247,0.004237,Sure Things,0,0
C000086,-0.001342,-0.001342,-0.050619,0.00054,Sleeping Dogs,0,0
C000087,0.001999,0.001999,0.323533,0.996816,Lost Causes,0,1
C000088,-0.00044,-0.00044,0.360558,0.000805,Sleeping Dogs,1,0
C000089,0.00011,0.00011,0.054119,0.000656,Sure Things,1,0
C000090,0.00087,0.00087,-0.020862,0.001485,Sure Things,1,0
C000091,0.000599,0.000599,0.100549,0.001155,Sure Things,0,0
C000092,-0.000381,-0.000381,-0.05823,0.000751,Sleeping Dogs,0,0
C000093,-0.000262,-0.000262,-0.118325,0.000554,Sleeping Dogs,0,0
C000094,-0.00043,-0.00043,0.303135,0.000808,Sleeping Dogs,1,0
C000095,0.203104,0.203104,0.049157,0.980528,Persuadables,0,1
C000096,0.000322,0.000322,0.389689,0.998343,Lost Causes,0,1
C000097,-0.00013,-0.00013,-0.075516,0.000614,Sleeping Dogs,0,0
C000098,-0.000276,-0.000276,0.197587,0.000506,Sleeping Dogs,1,0
C000099,-0.002438,-0.002438,0.086365,0.003275,Sleeping Dogs,1,0
C000100,-0.002807,-0.002807,0.084685,0.002639,Sleeping Dogs,1,0
C000101,0.000626,0.000626,0.120089,0.001517,Sure Things,0,0
C000102,0.000165,0.000165,-0.142074,0.000746,Sure Things,0,0
C000103,-0.140288,-0.140288,-0.1307,0.000916,Sleeping Dogs,0,0
C000104,0.013009,0.013009,0.090858,0.015357,Sure Things,1,0
C000105,-0.001633,-0.001633,0.019161,0.000873,Sleeping Dogs,0,0
C000106,-0.00084,-0.00084,0.122301,0.000575,Sleeping Dogs,1,0
C000107,0.000252,0.000252,0.326069,0.000868,Sure Things,1,0
C000108,9e-06,9e-06,-0.274717,0.000632,Sure Things,1,0
C000109,-2.1e-05,-2.1e-05,-0.016326,0.002483,Sleeping Dogs,1,0
C000110,0.000671,0.000671,0.046267,0.002636,Sure Things,1,0
C000111,0.000187,0.000187,0.226626,0.000824,Sure Things,1,0
C000112,3.2e-05,3.2e-05,0.089676,0.997647,Lost Causes,1,1
C000113,0.000448,0.000448,-0.060687,0.001005,Sure Things,0,0
C000114,0.000215,0.000215,-0.220521,0.000809,Sure Things,0,0
C000115,-0.046925,-0.046925,0.210547,0.00332,Sleeping Dogs,1,0
C000116,0.000144,0.000144,0.022324,0.9979,Lost Causes,0,1
C000117,0.017268,0.017268,0.161773,0.0678,Sure Things,1,0
C000118,-0.002794,-0.002794,-0.167966,0.002625,Sleeping Dogs,1,0
C000119,0.000259,0.000259,0.085249,0.99816,Lost Causes,1,1
C000120,2.6e-05,2.6e-05,-0.179608,0.000932,Sure Things,0,0
C000121,-0.716474,-0.716474,0.127262,0.224874,Sleeping Dogs,0,0
C000122,-0.002647,-0.002647,0.229938,0.002169,Sleeping Dogs,0,0
C000123,-0.00029,-0.00029,-0.115848,0.000692,Sleeping Dogs,0,0
C000124,-0.000257,-0.000257,-0.124303,0.000639,Sleeping Dogs,0,0
C000125,-0.004108,-0.004108,0.05246,0.000933,Sleeping Dogs,1,0
C000126,-0.000247,-0.000247,0.066842,0.000569,Sleeping Dogs,0,0
C000127,0.00049,0.00049,-0.035171,0.00111,Sure Things,1,0
C000128,0.000445,0.000445,-0.06168,0.001044,Sure Things,0,0
C000129,-0.000256,-0.000256,0.209961,0.000674,Sleeping Dogs,1,0
C000130,-9e-05,-9e-05,-0.18047,0.00047,Sleeping Dogs,0,0
C000131,-0.000344,-0.000344,0.19548,0.000504,Sleeping Dogs,1,0
C000132,0.000133,0.000133,-0.141666,0.000606,Sure Things,0,0
C000133,-0.000329,-0.000329,0.287448,0.000613,Sleeping Dogs,1,0
C000134,0.000666,0.000666,0.287143,0.003599,Sure Things,1,0
C000135,-0.000276,-0.000276,0.225869,0.000615,Sleeping Dogs,0,0
C000136,-0.000261,-0.000261,-0.060992,0.000294,Sleeping Dogs,0,0
C000137,-0.006072,-0.006072,0.156484,0.988372,Sleeping Dogs,1,1
C000138,-0.002461,-0.002461,0.141356,0.012952,Sleeping Dogs,1,0
C000139,-5.9e-05,-5.9e-05,0.0016,0.002037,Sleeping Dogs,0,0
C000140,-0.000587,-0.000587,-0.245242,0.000558,Sleeping Dogs,0,0
C000141,-0.000694,-0.000694,0.20251,0.000434,Sleeping Dogs,1,0
C000142,0.001581,0.001581,-0.125925,0.002592,Sure Things,0,0
C000143,0.002478,0.002478,-0.06444,0.004378,Sure Things,0,0
C000144,0.000322,0.000322,0.389689,0.998343,Lost Causes,0,1
C000145,0.001389,0.001389,0.035835,0.002003,Sure Things,1,0
C000146,-0.000709,-0.000709,-0.154891,0.000302,Sleeping Dogs,0,0
C000147,0.000617,0.000617,-0.083763,0.001201,Sure Things,1,0
C000148,0.000214,0.000214,0.115407,0.006832,Sure Things,0,0
C000149,-0.004201,-0.004201,0.376135,0.000482,Sleeping Dogs,0,0
C000150,-0.000233,-0.000233,-0.222146,0.997891,Sleeping Dogs,1,1
C000151,-0.000282,-0.000282,-0.241383,0.997722,Sleeping Dogs,1,1
C000152,0.000659,0.000659,0.408912,0.001319,Sure Things,1,0
C000153,0.000837,0.000837,-0.134873,0.99849,Lost Causes,1,1
C000154,0.000103,0.000103,0.336703,0.000851,Sure Things,1,0
C000155,-0.000589,-0.000589,0.35098,0.000587,Sleeping Dogs,1,0
C000156,0.000132,0.000132,0.029298,0.000711,Sure Things,0,0
C000157,-0.000287,-0.000287,0.159914,0.000763,Sleeping Dogs,1,0
C000158,0.00022,0.00022,0.275106,0.998401,Lost Causes,0,1
C000159,-0.000656,-0.000656,0.149376,0.000632,Sleeping Dogs,1,0
C000160,-0.000216,-0.000216,-0.08565,0.000638,Sleeping Dogs,0,0
C000161,8.7e-05,8.7e-05,0.152021,0.00076,Sure Things,1,0
C000162,0.000377,0.000377,0.290056,0.001167,Sure Things,1,0
C000163,-1.7e-05,-1.7e-05,0.117559,0.000727,Sleeping Dogs,1,0
C000164,-0.000353,-0.000353,-0.114789,0.000612,Sleeping Dogs,0,0
C000165,0.000204,0.000204,0.414272,0.998601,Lost Causes,0,1
C000166,-8.2e-05,-8.2e-05,-0.283226,0.00076,Sleeping Dogs,0,0
C000167,-0.731028,-0.731028,0.13692,0.116139,Sleeping Dogs,0,0
C000168,-0.000152,-0.000152,-0.137922,0.000688,Sleeping Dogs,0,0
C000169,-0.000115,-0.000115,-0.201153,0.000452,Sleeping Dogs,0,0
C000170,0.000715,0.000715,-0.111848,0.997749,Lost Causes,0,1
C000171,0.00054,0.00054,0.022237,0.998779,Lost Causes,0,1
C000172,0.003125,0.003125,0.336814,0.007294,Sure Things,1,0
C000173,-0.000161,-0.000161,0.298745,0.00024,Sleeping Dogs,1,0
C000174,0.000101,0.000101,0.069226,0.000715,Sure Things,1,0
C000175,-0.000163,-0.000163,-0.155666,0.000447,Sleeping Dogs,1,0
C000176,-0.231738,-0.231738,0.196164,0.76512,Sleeping Dogs,1,1
C000177,3.3e-05,3.3e-05,-0.033485,0.000601,Sure Things,0,0
C000178,0.012949,0.012949,0.191491,0.014262,Sure Things,1,0
C000179,-0.000506,-0.000506,0.134566,0.000395,Sleeping Dogs,1,0
C000180,-0.000858,-0.000858,-0.019022,0.997151,Sleeping Dogs,0,1
C000181,-0.062798,-0.062798,0.085098,0.883117,Sleeping Dogs,1,1
C000182,-0.000192,-0.000192,0.227256,0.000569,Sleeping Dogs,1,0
C000183,0.812975,0.812975,0.181415,0.817839,Persuadables,0,1
C000184,-4.7e-05,-4.7e-05,-0.10291,0.000388,Sleeping Dogs,0,0
C000185,0.001767,0.001767,0.089357,0.986268,Lost Causes,1,1
C000186,-0.000203,-0.000203,0.081565,0.000653,Sleeping Dogs,1,0
C000187,9e-06,9e-06,-0.28093,0.000632,Sure Things,0,0
C000188,-0.017677,-0.017677,0.04982,0.002864,Sleeping Dogs,0,0
C000189,0.003425,0.003425,0.21714,0.004083,Sure Things,1,0
C000190,0.000152,0.000152,-0.051516,0.000875,Sure Things,0,0
C000191,0.0003,0.0003,0.285354,0.000916,Sure Things,1,0
C000192,-0.011943,-0.011943,-0.034887,0.0029,Sleeping Dogs,0,0
C000193,-0.017487,-0.017487,0.030209,0.002307,Sleeping Dogs,0,0
C000194,0.000708,0.000708,-0.216685,0.001404,Sure Things,1,0
C000195,0.000888,0.000888,-0.068698,0.001535,Sure Things,1,0
C000196,0.000207,0.000207,0.214735,0.000729,Sure Things,1,0
C000197,0.000587,0.000587,0.304045,0.001153,Sure Things,1,0
C000198,0.012286,0.012286,0.307788,0.017372,Sure Things,1,0
C000199,-0.000267,-0.000267,-0.172597,0.00061,Sleeping Dogs,0,0
C000200,-8.2e-05,-8.2e-05,-0.080116,0.998527,Sleeping Dogs,1,1
C000201,-8.2e-05,-8.2e-05,-0.182999,0.000456,Sleeping Dogs,0,0
C000202,0.00012,0.00012,-0.031961,0.987533,Lost Causes,0,1
C000203,-0.012932,-0.012932,-0.017744,0.006901,Sleeping Dogs,1,0
C000204,-0.000164,-0.000164,0.249339,0.000727,Sleeping Dogs,0,0
C000205,-0.004735,-0.004735,-0.299683,0.002193,Sleeping Dogs,0,0
C000206,0.012327,0.012327,0.025588,0.034312,Sure Things,1,0
C000207,-0.000827,-0.000827,0.039105,0.002904,Sleeping Dogs,1,0
C000208,-0.000238,-0.000238,0.306462,0.000182,Sleeping Dogs,1,0
C000209,0.000912,0.000912,-0.0665,0.001403,Sure Things,1,0
C000210,-0.026846,-0.026846,0.06507,0.081693,Sleeping Dogs,0,0
C000211,0.000419,0.000419,-0.015428,0.000949,Sure Things,0,0
C000212,0.002077,0.002077,-0.100906,0.003537,Sure Things,1,0
C000213,-0.009015,-0.009015,0.116788,0.000841,Sleeping Dogs,1,0
C000214,-0.001097,-0.001097,-0.045367,0.000571,Sleeping Dogs,0,0
C000215,-0.000172,-0.000172,-0.017132,0.00094,Sleeping Dogs,1,0
C000216,0.000929,0.000929,0.13569,0.001576,Sure Things,1,0
C000217,0.000203,0.000203,-0.045285,0.00084,Sure Things,1,0
C000218,0.077207,0.077207,0.121212,0.989401,Persuadables,0,1
C000219,-0.000305,-0.000305,-0.077854,0.000538,Sleeping Dogs,0,0
C000220,-0.00051,-0.00051,0.22121,0.000752,Sleeping Dogs,1,0
C000221,-0.000901,-0.000901,0.235628,0.996653,Sleeping Dogs,1,1
C000222,3.6e-05,3.6e-05,-0.140916,0.00052,Sure Things,0,0
C000223,0.000387,0.000387,0.069456,0.998601,Lost Causes,0,1
C000224,0.000117,0.000117,-0.204819,0.000754,Sure Things,0,0
C000225,-0.795519,-0.795519,-0.362017,0.002134,Sleeping Dogs,1,1
C000226,-0.000164,-0.000164,0.21736,0.000727,Sleeping Dogs,1,0
C000227,-8.3e-05,-8.3e-05,-0.117428,0.997969,Sleeping Dogs,1,1
C000228,0.000907,0.000907,-0.217689,0.00139,Sure Things,0,0
C000229,0.000413,0.000413,-0.045441,0.001002,Sure Things,0,0
C000230,0.002445,0.002445,-0.019238,0.003,Sure Things,0,0
C000231,-0.000338,-0.000338,0.434999,0.000917,Sleeping Dogs,1,0
C000232,5.5e-05,5.5e-05,-0.137744,0.000605,Sure Things,0,0
C000233,-9e-06,-9e-06,-0.287978,0.00053,Sleeping Dogs,1,0
C000234,-0.000265,-0.000265,-0.216434,0.000297,Sleeping Dogs,0,0
C000235,-0.130565,-0.130565,0.103374,0.011618,Sleeping Dogs,0,0
C000236,-4.4e-05,-4.4e-05,0.426164,0.998446,Sleeping Dogs,0,1
C000237,-0.076577,-0.076577,0.021957,0.000889,Sleeping Dogs,0,0
C000238,0.00015,0.00015,0.18342,0.000818,Sure Things,1,0
C000239,-7.8e-05,-7.8e-05,0.295761,0.000519,Sleeping Dogs,1,0
C000240,0.000213,0.000213,0.141827,0.99865,Lost Causes,0,1
C000241,0.000819,0.000819,-0.192939,0.001755,Sure Things,0,0
C000242,0.000117,0.000117,-0.172094,0.000754,Sure Things,0,0
C000243,0.269389,0.269389,0.059627,0.93316,Persuadables,0,1
C000244,0.631398,0.631398,-0.175739,0.633675,Persuadables,0,1
C000245,1.7e-05,1.7e-05,-0.331359,0.000604,Sure Things,0,0
C000246,0.004766,0.004766,-0.001908,0.995574,Lost Causes,1,1
C000247,-0.000486,-0.000486,0.087051,0.000674,Sleeping Dogs,1,0
C000248,-0.000166,-0.000166,-0.27676,0.000657,Sleeping Dogs,0,0
C000249,0.000149,0.000149,0.205138,0.001281,Sure Things,1,0
C000250,8.7e-05,8.7e-05,-0.174131,0.000621,Sure Things,1,0
C000251,-9.2e-05,-9.2e-05,0.175908,0.000607,Sleeping Dogs,1,0
C000252,-0.000323,-0.000323,0.145374,0.000599,Sleeping Dogs,0,0
C000253,-0.030585,-0.030585,0.172176,0.010154,Sleeping Dogs,1,0
C000254,0.000856,0.000856,0.008761,0.998163,Lost Causes,0,1
C000255,0.000601,0.000601,-0.032791,0.998108,Lost Causes,1,1
C000256,-0.004261,-0.004261,-0.169829,0.000811,Sleeping Dogs,0,0
C000257,0.00819,0.00819,-0.164247,0.014017,Sure Things,1,0
C000258,-1.7e-05,-1.7e-05,0.145465,0.000727,Sleeping Dogs,1,0
C000259,0.001692,0.001692,-0.178484,0.002183,Sure Things,0,0
C000260,-0.001438,-0.001438,-0.268505,0.002485,Sleeping Dogs,0,0
C000261,-0.000441,-0.000441,-0.122485,0.000258,Sleeping Dogs,0,0
C000262,-0.000124,-0.000124,-0.030387,0.001052,Sleeping Dogs,1,0
C000263,-3.6e-05,-3.6e-05,-0.142035,0.000632,Sleeping Dogs,0,0
C000264,-0.139997,-0.139997,-0.059216,0.020065,Sleeping Dogs,0,0
C000265,0.011241,0.011241,-0.120058,0.012357,Sure Things,1,0
C000266,-3e-06,-3e-06,0.081006,0.000596,Sleeping Dogs,0,0
C000267,4e-05,4e-05,-0.091301,0.000654,Sure Things,0,0
C000268,0.552957,0.552957,0.158291,0.655068,Persuadables,1,0
C000269,-1.9e-05,-1.9e-05,-0.326744,0.000604,Sleeping Dogs,0,0
C000270,-0.000172,-0.000172,0.376541,0.000614,Sleeping Dogs,1,0
C000271,-0.033788,-0.033788,-0.053405,0.010744,Sleeping Dogs,1,0
C000272,0.000548,0.000548,0.047441,0.001148,Sure Things,0,0
C000273,0.005483,0.005483,0.148694,0.998509,Lost Causes,0,1
C000274,0.002126,0.002126,0.041055,0.003651,Sure Things,1,0
C000275,-0.002266,-0.002266,0.153799,0.003543,Sleeping Dogs,0,0
C000276,0.000327,0.000327,0.008939,0.997141,Lost Causes,0,1
C000277,0.000114,0.000114,0.201262,0.001328,Sure Things,1,0
C000278,0.000717,0.000717,0.016213,0.001273,Sure Things,0,0
C000279,6.3e-05,6.3e-05,0.237902,0.998343,Lost Causes,0,1
C000280,-5.4e-05,-5.4e-05,-0.085482,0.000614,Sleeping Dogs,0,0
C000281,0.000793,0.000793,-0.077884,0.001392,Sure Things,1,0
C000282,-8.3e-05,-8.3e-05,0.074127,0.000541,Sleeping Dogs,0,0
C000283,0.284576,0.284576,0.035936,0.888625,Persuadables,0,1
C000284,-0.000202,-0.000202,0.128807,0.000282,Sleeping Dogs,1,0
C000285,-0.00148,-0.00148,0.122924,0.002133,Sleeping Dogs,1,0
C000286,-0.000277,-0.000277,0.007453,0.000614,Sleeping Dogs,1,0
C000287,0.642343,0.642343,-0.322853,0.644672,Persuadables,0,1
C000288,0.001616,0.001616,-0.105846,0.002108,Sure Things,0,0
C000289,-0.005174,-0.005174,-0.127197,0.002152,Sleeping Dogs,0,0
C000290,-0.000588,-0.000588,-0.166483,0.997482,Sleeping Dogs,1,1
C000291,-0.012645,-0.012645,-0.053224,0.985002,Sleeping Dogs,0,1
C000292,0.003161,0.003161,-0.063881,0.008122,Sure Things,1,0
C000293,0.001374,0.001374,-0.157953,0.002042,Sure Things,0,0
C000294,-0.000528,-0.000528,0.113073,0.000763,Sleeping Dogs,0,0
C000295,0.000211,0.000211,0.019127,0.000806,Sure Things,0,0
C000296,6.3e-05,6.3e-05,0.237902,0.998343,Lost Causes,0,1
C000297,-0.001117,-0.001117,-0.112554,0.00093,Sleeping Dogs,0,0
C000298,-0.008746,-0.008746,0.005928,0.006076,Sleeping Dogs,0,0
C000299,-0.000176,-0.000176,-0.033104,0.000633,Sleeping Dogs,0,0
C000300,-0.000539,-0.000539,-0.082713,0.000285,Sleeping Dogs,0,0
C000301,0.000454,0.000454,0.297727,0.001068,Sure Things,1,0
C000302,-0.000334,-0.000334,-0.010308,0.000514,Sleeping Dogs,0,0
C000303,-0.004138,-0.004138,0.196127,0.002459,Sleeping Dogs,1,0
C000304,0.000452,0.000452,-0.28804,0.001009,Sure Things,0,0
C000305,0.001548,0.001548,0.257445,0.00276,Sure Things,1,0
C000306,-0.000489,-0.000489,-0.14479,0.000672,Sleeping Dogs,1,0
C000307,-0.598269,-0.598269,0.139118,0.147167,Sleeping Dogs,0,0
C000308,9.6e-05,9.6e-05,-0.005168,0.000711,Sure Things,1,0
C000309,-0.00083,-0.00083,0.106323,0.001205,Sleeping Dogs,1,0
C000310,-0.000201,-0.000201,0.027358,0.997699,Sleeping Dogs,1,1
C000311,-0.000229,-0.000229,-0.111299,0.000611,Sleeping Dogs,0,0
C000312,-0.000159,-0.000159,-0.052744,0.0004,Sleeping Dogs,0,0
C000313,-0.000195,-0.000195,0.41425,0.000975,Sleeping Dogs,1,0
C000314,-0.001082,-0.001082,0.09277,0.001783,Sleeping Dogs,1,0
C000315,-0.000566,-0.000566,0.362851,0.99764,Sleeping Dogs,1,1
C000316,-0.618482,-0.618482,0.276982,0.000533,Sleeping Dogs,1,1
C000317,0.004091,0.004091,-0.224605,0.006287,Sure Things,0,0
C000318,0.000133,0.000133,-0.326503,0.000718,Sure Things,1,0
C000319,0.000877,0.000877,0.057689,0.998263,Lost Causes,1,1
C000320,-0.990669,-0.990669,0.290975,0.003775,Sleeping Dogs,1,1
C000321,-0.005105,-0.005105,0.032997,0.002421,Sleeping Dogs,1,0
C000322,-0.001102,-0.001102,0.433654,0.001012,Sleeping Dogs,0,0
C000323,-0.0004,-0.0004,-0.152791,0.000577,Sleeping Dogs,0,0
C000324,-0.000457,-0.000457,-0.212472,0.00026,Sleeping Dogs,0,0
C000325,0.00175,0.00175,-0.08595,0.002258,Sure Things,0,0
C000326,-0.019073,-0.019073,0.261115,0.001631,Sleeping Dogs,1,0
C000327,-0.00016,-0.00016,-0.090499,0.000565,Sleeping Dogs,1,0
C000328,-0.000361,-0.000361,-0.075143,0.00033,Sleeping Dogs,0,0
C000329,5.2e-05,5.2e-05,-0.147788,0.000688,Sure Things,0,0
C000330,-0.001394,-0.001394,0.036053,0.000333,Sleeping Dogs,1,0
C000331,-0.003335,-0.003335,-0.307375,0.002047,Sleeping Dogs,1,0
C000332,-5.2e-05,-5.2e-05,0.048698,0.000587,Sleeping Dogs,1,0
C000333,-0.647564,-0.647564,0.103887,0.017246,Sleeping Dogs,0,0
C000334,-2.2e-05,-2.2e-05,0.016326,0.000614,Sleeping Dogs,1,0
C000335,0.000148,0.000148,-0.020297,0.998153,Lost Causes,0,1
C000336,-0.000164,-0.000164,0.424237,0.000727,Sleeping Dogs,0,0
C000337,-0.000769,-0.000769,0.37254,0.998,Sleeping Dogs,0,1
C000338,-0.000276,-0.000276,0.230636,0.000615,Sleeping Dogs,0,0
C000339,6.3e-05,6.3e-05,0.237902,0.998343,Lost Causes,0,1
C000340,8e-05,8e-05,0.036978,0.000679,Sure Things,1,0
C000341,-0.000266,-0.000266,0.01524,0.000419,Sleeping Dogs,0,0
C000342,-0.372623,-0.372623,0.109519,0.036063,Sleeping Dogs,0,0
C000343,-0.000192,-0.000192,0.126127,0.000744,Sleeping Dogs,1,0
C000344,0.000213,0.000213,0.333559,0.99865,Lost Causes,1,1
C000345,-0.000311,-0.000311,-0.162721,0.000355,Sleeping Dogs,0,0
C000346,0.001831,0.001831,-0.270608,0.002481,Sure Things,0,0
C000347,0.000405,0.000405,-0.219293,0.001127,Sure Things,0,0
C000348,0.00151,0.00151,0.145037,0.001999,Sure Things,1,0
C000349,-0.006843,-0.006843,0.323564,0.016476,Sleeping Dogs,1,0
C000350,0.017468,0.017468,0.068744,0.989197,Lost Causes,0,1
C000351,1.2e-05,1.2e-05,0.105365,0.000593,Sure Things,0,0
C000352,-0.002404,-0.002404,0.16689,0.005046,Sleeping Dogs,1,0
C000353,0.000125,0.000125,-0.243494,0.998473,Lost Causes,1,1
C000354,-0.001223,-0.001223,0.426849,0.001022,Sleeping Dogs,0,0
C000355,3.2e-05,3.2e-05,-0.022117,0.000653,Sure Things,1,0
C000356,-0.008273,-0.008273,0.223554,0.005097,Sleeping Dogs,1,0
C000357,0.001296,0.001296,0.261786,0.002424,Sure Things,1,0
C000358,-0.000355,-0.000355,-0.115371,0.000821,Sleeping Dogs,0,0
C000359,-0.000167,-0.000167,-0.114005,0.997973,Sleeping Dogs,0,1
C000360,-0.000202,-0.000202,-0.064964,0.001101,Sleeping Dogs,1,0
C000361,-0.000121,-0.000121,-0.137806,0.000593,Sleeping Dogs,0,0
